project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/MP826/2024-2025/135528-Development of playground,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499834,460889,15-Jan-25,,18-Feb-26,Completed
WS/MP826/2024-2025/135529-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499918,,15-Jan-25,,,Vendor Identification
WS/MP826/2024-2025/135530-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,450815,450815,15-Jan-25,,15-May-25,Completed
"WS/MP826/2024-2025/135533-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,17-Feb-25,499999,429493,17-Feb-25,,16-Jun-25,Completed
WS/MP826/2024-2025/135534-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,17-Feb-25,499550,416361,17-Feb-25,,15-Sep-25,Completed
WS/MP826/2024-2025/135535-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,12-Feb-25,500000,493330,12-Feb-25,,30-Jul-25,Completed
WS/MP826/2024-2025/135539-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,25-Mar-25,499500,399244,25-Mar-25,,08-Aug-25,Completed
WS/MP826/2024-2025/135541-Street lights,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499998,487382,15-Jan-25,,11-Dec-25,Completed
WS/MP826/2024-2025/135546-Construction of foot over bridge (FOB),Raju Bista,DARJEELING,Normal/Others,15-Jan-25,500000,483907,15-Jan-25,,11-Dec-25,Completed
"WS/MP826/2024-2025/135547-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499964,460842,15-Jan-25,,11-Dec-25,Completed
WS/MP826/2024-2025/135549-Construction of boundary walls of existing public and community buildings,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499387,459397,15-Jan-25,,24-Jun-25,Completed
WS/MP826/2024-2025/135553-Construction of community centers and community halls,Raju Bista,DARJEELING,Repair and Renovation,15-Jan-25,472866,472866,15-Jan-25,,31-Dec-25,Completed
WS/MP826/2024-2025/135555-Development of playground,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,488498,488498,15-Jan-25,,15-May-25,Completed
WS/MP826/2024-2025/135558-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,460275,460275,15-Jan-25,,21-May-25,Completed
WS/MP826/2024-2025/135559-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,452693,452693,15-Jan-25,,09-Jun-25,Completed
WS/MP826/2024-2025/135564-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,487336,487336,23-Dec-24,,25-Nov-25,Completed
"WS/MP826/2024-2025/135566-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,23-Dec-24,483200,483200,23-Dec-24,,11-Jul-25,Completed
WS/MP826/2024-2025/135568-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,466505,466505,23-Dec-24,,25-Nov-25,Completed
WS/MP826/2024-2025/135570-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,466505,466505,23-Dec-24,,29-Apr-25,Completed
WS/MP826/2024-2025/135572-Development of playground,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,483151,483151,23-Dec-24,,04-Aug-25,Completed
"WS/MP826/2024-2025/135573-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,23-Dec-24,484439,484439,23-Dec-24,,11-Jul-25,Completed
WS/MP826/2024-2025/135574-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,411946,411946,23-Dec-24,,19-Aug-26,Completed
WS/MP826/2024-2025/135575-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,474465,474465,23-Dec-24,,23-Jul-25,Completed
WS/MP826/2024-2025/135576-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,461979,461979,23-Dec-24,,04-Aug-25,Completed
WS/MP826/2024-2025/135583-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,,23-Dec-24,,,Physical Inspection
WS/MP826/2024-2025/135584-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,,23-Dec-24,,,Physical Inspection
WS/MP826/2024-2025/135585-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,,23-Dec-24,,,Physical Inspection
WS/MP826/2025-2026/135586-Street lights,Raju Bista,DARJEELING,Normal/Others,22-Aug-25,391043,391043,22-Aug-25,,06-Aug-26,Completed
WS/MP18065/2024-2025/135587-Construction of common work sheds/ common covered sitting area,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,30-Oct-24,263371,263371,30-Oct-24,,06-Jun-25,Completed
WS/MP826/2024-2025/135588-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,405348,405348,23-Dec-24,,11-Aug-26,Completed
WS/MP826/2026-2027/135589-Development of playground,Raju Bista,DARJEELING,Normal/Others,18-Aug-26,500000,,18-Aug-26,,,Sanction
WS/MP826/2026-2027/135590-Construction of additional rooms and halls in the existing public and community building,Raju Bista,DARJEELING,Normal/Others,18-Aug-26,500000,,18-Aug-26,,,Sanction
WS/MP826/2024-2025/135592-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,405348,405348,23-Dec-24,,06-Aug-26,Completed
"WS/MP18006/2024-2025/135593-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,450000,448722,23-Aug-24,,05-Dec-24,Completed
"WS/MP826/2024-2025/135594-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,23-Dec-24,499759,499759,23-Dec-24,,06-Aug-26,Completed
"WS/MP18006/2024-2025/135595-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,450000,448970,23-Aug-24,,05-Dec-24,Completed
WS/MP826/2024-2025/135596-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,396764,396764,23-Dec-24,,21-Aug-25,Completed
WS/MP826/2026-2027/135597-Street lights,Raju Bista,DARJEELING,Normal/Others,07-Jul-26,500000,,07-Jul-26,,,Sanction
WS/MP826/2025-2026/135598-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,400000,23-Apr-25,,30-Oct-25,Completed
WS/MP826/2025-2026/135599-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,399998,23-Apr-25,,22-Sep-25,Completed
WS/MP826/2025-2026/135600-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,499800,23-Apr-25,,30-Oct-25,Completed
WS/MP826/2025-2026/135601-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,399999,23-Apr-25,,22-Sep-25,Completed
WS/MP826/2025-2026/135602-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,400000,23-Apr-25,,17-Oct-25,Completed
"WS/MP826/2025-2026/135603-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,476099,23-Apr-25,,10-Oct-25,Completed
WS/MP826/2025-2026/135604-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,400000,23-Apr-25,,30-Oct-25,Completed
WS/MP18006/2024-2025/135639-Providing drains and gutters for public drainage,DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,27-Aug-24,440871,440871,27-Aug-24,,20-Aug-25,Completed
WS/MP18006/2024-2025/135640-Providing drains and gutters for public drainage,DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,27-Aug-24,500000,500000,27-Aug-24,,03-Mar-25,Completed
WS/MP18006/2024-2025/135641-Providing drains and gutters for public drainage,DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,27-Aug-24,489209,489209,27-Aug-24,,03-Mar-25,Completed
WS/MP18006/2024-2025/135642-Providing drains and gutters for public drainage,DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,27-Aug-24,477866,477866,27-Aug-24,,08-Feb-25,Completed
WS/MP18006/2024-2025/135643-Providing drains and gutters for public drainage,DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,27-Aug-24,200000,200000,27-Aug-24,,08-Feb-25,Completed
"WS/MP18006/2024-2025/135645-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,400000,397837,23-Aug-24,,25-Oct-24,Completed
"WS/MP18006/2024-2025/135646-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,100000,99809,23-Aug-24,,25-Oct-24,Completed
"WS/MP18006/2024-2025/135647-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,497766,23-Aug-24,,25-Oct-24,Completed
"WS/MP18006/2024-2025/135648-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,499570,23-Aug-24,,07-Jan-25,Completed
"WS/MP18006/2024-2025/135649-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,490629,23-Aug-24,,27-Mar-25,Completed
"WS/MP18006/2024-2025/135650-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,499781,23-Aug-24,,07-Jan-25,Completed
"WS/MP18006/2024-2025/135651-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,499782,23-Aug-24,,07-Jan-25,Completed
"WS/MP18006/2024-2025/135652-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,499365,23-Aug-24,,07-Jan-25,Completed
"WS/MP18006/2024-2025/135653-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,,23-Aug-24,,,Work partially Completed
"WS/MP18006/2024-2025/135654-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,499432,23-Aug-24,,07-Jan-25,Completed
"WS/MP18006/2024-2025/135655-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,03-Sep-24,500000,492402,03-Sep-24,,14-Dec-24,Completed
"WS/MP18006/2024-2025/135656-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,03-Sep-24,500000,496981,03-Sep-24,,14-Dec-24,Completed
"WS/MP18006/2024-2025/135658-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,09-Oct-24,2000000,,09-Oct-24,,,Work partially Completed
WS/MP485/2024-2025/135678-Construction of common work sheds/ common covered sitting area,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,499837,499837,17-Sep-24,,08-Apr-25,Completed
WS/MP485/2024-2025/135679-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,349964,349964,17-Sep-24,,21-Nov-24,Completed
WS/MP485/2024-2025/135680-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,349842,349842,17-Sep-24,,17-Dec-24,Completed
WS/MP485/2024-2025/135681-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,346522,346522,17-Sep-24,,11-Dec-24,Completed
WS/MP485/2024-2025/135682-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,349952,349952,17-Sep-24,,11-Dec-24,Completed
WS/MP826/2025-2026/135683-Construction of community centers and community halls,Raju Bista,DARJEELING,Repair and Renovation,23-Apr-25,500000,,23-Apr-25,,,Physical Inspection
WS/MP826/2025-2026/135684-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,400000,23-Apr-25,,17-Oct-25,Completed
WS/MP826/2025-2026/135685-Construction of community centers and community halls,Raju Bista,DARJEELING,Repair and Renovation,23-Apr-25,500000,499112,23-Apr-25,,13-Jan-26,Completed
WS/MP826/2025-2026/135686-Construction of additional rooms and halls in the existing public and community building,Raju Bista,DARJEELING,Normal/Others,23-Apr-25,500000,495649,23-Apr-25,,18-Feb-26,Completed
WS/MP826/2024-2025/135687-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,,23-Dec-24,,,Physical Inspection
