project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/MP826/2024-2025/135707-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,11-Feb-25,461795,461795,11-Feb-25,,28-Jul-26,Completed
WS/MP826/2024-2025/135708-Construction of footpaths and pedestrian ways,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499918,482145,15-Jan-25,,11-Dec-25,Completed
WS/MP826/2024-2025/135709-Construction of foot over bridge (FOB),Raju Bista,DARJEELING,Normal/Others,15-Jan-25,499907,485035,15-Jan-25,,11-Dec-25,Completed
WS/MP826/2024-2025/135710-Development of playground,Raju Bista,DARJEELING,Normal/Others,15-Jan-25,462732,462732,15-Jan-25,,09-Jun-25,Completed
WS/MP826/2024-2025/135711-Construction of community centers and community halls,Raju Bista,DARJEELING,Normal/Others,12-Feb-25,499999,,12-Feb-25,,,Work partially Completed
WS/MP826/2024-2025/135712-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,466505,466505,23-Dec-24,,29-Apr-25,Completed
"WS/MP826/2024-2025/135713-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Normal/Others,11-Feb-25,500000,,11-Feb-25,,,Physical Inspection
WS/MP826/2025-2026/135714-Construction of additional rooms and halls in the existing public and community building,Raju Bista,DARJEELING,Normal/Others,25-Aug-25,487774,487774,25-Aug-25,,13-Mar-26,Completed
WS/MP826/2024-2025/135715-Construction of rooms and halls in school and colleges,Raju Bista,DARJEELING,Repair and Renovation,11-Feb-25,490768,490768,11-Feb-25,,28-Jul-26,Completed
WS/MP826/2024-2025/135716-Street lights,Raju Bista,DARJEELING,Normal/Others,23-Dec-24,500000,411948,23-Dec-24,,19-Aug-26,Completed
NA-Construction of additional rooms and halls in the existing public and community building,Raju Bista,DARJEELING,Normal/Others,,,,,,,Recommended
WS/MP18144/2024-2025/135750-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,500000,500000,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135751-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,500000,500000,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135752-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,500000,500000,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135753-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,499500,499500,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135754-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,499500,499500,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135755-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,499500,499500,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135756-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,499500,499500,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135757-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,500000,500000,19-Nov-24,,30-Oct-25,Completed
WS/MP18144/2024-2025/135758-Purchase of hospital equipment,MALVIKA DEVI,KALAHANDI,Normal/Others,19-Nov-24,500000,500000,19-Nov-24,,30-Oct-25,Completed
"WS/MP826/2024-2025/135759-Construction of roads, link roads, pathways or any other road with or without drainage system",Raju Bista,DARJEELING,Repair and Renovation,12-Mar-25,400000,386160,12-Mar-25,,19-Aug-26,Completed
WS/MP858/2024-2025/135760-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Sep-24,438556,438556,13-Sep-24,,23-Jul-26,Completed
"WS/MP526/2024-2025/135770-Construction of roads, link roads, pathways or any other road with or without drainage system",Y S Avinash Reddy,KADAPA,Normal/Others,18-Nov-24,497000,,18-Nov-24,,,Sanction
"WS/MP526/2024-2025/135771-Construction of roads, link roads, pathways or any other road with or without drainage system",Y S Avinash Reddy,KADAPA,Normal/Others,18-Nov-24,496000,,18-Nov-24,,,Sanction
WS/MP526/2024-2025/135772-Construction of community centers and community halls,Y S Avinash Reddy,KADAPA,Normal/Others,08-Jan-25,980399,980399,08-Jan-25,,11-May-25,Completed
WS/MP526/2024-2025/135773-Providing supply pipelines for drinking water,Y S Avinash Reddy,KADAPA,Normal/Others,18-Nov-24,400000,391781,18-Nov-24,,18-Oct-25,Completed
