project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status,months_elapsed,cost_overrun_ratio,delay_days,fund_utilization_speed,percent_spent,last_update_date,last_update_age,possible_unit_error
5284,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52840,KALI CHARAN SINGH,CHATRA,Normal/Others,,100000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52841,KALI CHARAN SINGH,CHATRA,Normal/Others,,300000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52842,KALI CHARAN SINGH,CHATRA,Normal/Others,,300000.0,0.0,,,,Work Partially Completed,0.0,0.0,0,0.0,0.0,,9999,0
52843,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52844,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52845,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,200000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52846,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,200000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52847,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,300000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52848,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,400000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52849,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Work Completed,0.0,0.0,0,0.0,0.0,,9999,0
5285,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
