project_id,anomaly_score,is_flagged
"WS/ MP005/2025-2026/174441-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08417882230294832,False
"WS/ MP005/2025-2026/174442-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09772205815075324,False
"WS/ MP005/2025-2026/174443-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08417882230294832,False
"WS/ MP005/2025-2026/174444-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09550529277831032,False
"WS/ MP005/2025-2026/174445-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09921292153345529,False
WS/ MP005/2025-2026/174452-Installing tube-wells and borewells,0.095817672628626,False
"WS/ MP005/2025-2026/174459-Construction of roads, link roads, pathways or any other road with or without drainage system",0.095817672628626,False
"WS/ MP005/2025-2026/174462-Construction of roads, link roads, pathways or any other road with or without drainage system",0.1068986386202529,False
"WS/ MP005/2025-2026/174464-Construction of roads, link roads, pathways or any other road with or without drainage system",0.0788826657771155,False
WS/ MP005/2025-2026/174467-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,0.08162022374713562,False
WS/ MP005/2025-2026/174469-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,0.08417882230294832,False
"WS/ MP005/2025-2026/174470-Construction of roads, link roads, pathways or any other road with or without drainage system",0.10637424534884449,False
"WS/ MP005/2025-2026/174471-Construction of roads, link roads, pathways or any other road with or without drainage system",0.07875907587729108,False
"WS/ MP005/2025-2026/174473-Construction of roads, link roads, pathways or any other road with or without drainage system",0.09487336959130444,False
"WS/ MP005/2025-2026/174474-Construction of roads, link roads, pathways or any other road with or without drainage system",0.061930773283809915,False
"WS/ MP005/2025-2026/174775-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08887604160337265,False
"WS/ MP005/2025-2026/174776-Construction of roads, link roads, pathways or any other road with or without drainage system",0.07660160293101798,False
"WS/ MP005/2025-2026/174781-Construction of roads, link roads, pathways or any other road with or without drainage system",0.06499986006962932,False
WS/ MP005/2025-2026/174784-Construction of footpaths and pedestrian ways,0.08887604160337265,False
WS/ MP005/2025-2026/174785-Construction of footpaths and pedestrian ways,0.08887604160337265,False
"WS/ MP005/2025-2026/174786-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08887604160337265,False
"WS/ MP005/2025-2026/174810-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08858831407246709,False
"WS/ MP005/2025-2026/174817-Construction of roads, link roads, pathways or any other road with or without drainage system",0.07674225716240701,False
"WS/ MP005/2025-2026/174818-Construction of roads, link roads, pathways or any other road with or without drainage system",0.08175276231739825,False
"WS/ MP005/2025-2026/174979-Construction of roads, link roads, pathways or any other road with or without drainage system",0.0624492587525583,False
"WS/ MP005/2025-2026/174980-Construction of roads, link roads, pathways or any other road with or without drainage system",0.05247163263924837,False
"WS/ MP005/2025-2026/174981-Construction of roads, link roads, pathways or any other road with or without drainage system",0.07083594907854518,False
